"id","name","race","effect"
287,"Blackberry Bubble","indica","Stress"
287,"Blackberry Bubble","indica","Inflammation"
287,"Blackberry Bubble","indica","Depression"
287,"Blackberry Bubble","indica","Dry Eyes"
288,"Blackberry Chem OG","hybrid","Relaxed"
288,"Blackberry Chem OG","hybrid","Euphoric"
288,"Blackberry Chem OG","hybrid","Happy"
288,"Blackberry Chem OG","hybrid","Uplifted"
288,"Blackberry Chem OG","hybrid","Tingly"
288,"Blackberry Chem OG","hybrid","Depression"
288,"Blackberry Chem OG","hybrid","Stress"
288,"Blackberry Chem OG","hybrid","Pain"
288,"Blackberry Chem OG","hybrid","Anxious"
288,"Blackberry Chem OG","hybrid","Paranoid"
289,"Blackberry Cream","indica","Relaxed"
289,"Blackberry Cream","indica","Happy"
289,"Blackberry Cream","indica","Euphoric"
289,"Blackberry Cream","indica","Uplifted"
289,"Blackberry Cream","indica","Sleepy"
289,"Blackberry Cream","indica","Depression"
289,"Blackberry Cream","indica","Stress"
289,"Blackberry Cream","indica","Insomnia"
289,"Blackberry Cream","indica","Muscle Spasms"
289,"Blackberry Cream","indica","Pain"
290,"Blackberry Diesel","sativa","Happy"
290,"Blackberry Diesel","sativa","Relaxed"
290,"Blackberry Diesel","sativa","Talkative"
290,"Blackberry Diesel","sativa","Hungry"
290,"Blackberry Diesel","sativa","Sleepy"
290,"Blackberry Diesel","sativa","Stress"
290,"Blackberry Diesel","sativa","Depression"
290,"Blackberry Diesel","sativa","Lack of Appetite"
290,"Blackberry Diesel","sativa","Headaches"
290,"Blackberry Diesel","sativa","Eye Pressure"
290,"Blackberry Diesel","sativa","Anxious"
290,"Blackberry Diesel","sativa","Headache"
290,"Blackberry Diesel","sativa","Dry Mouth"
291,"Blackberry Dream","hybrid","Energetic"
291,"Blackberry Dream","hybrid","Relaxed"
291,"Blackberry Dream","hybrid","Uplifted"
291,"Blackberry Dream","hybrid","Creative"
291,"Blackberry Dream","hybrid","Giggly"
291,"Blackberry Dream","hybrid","Depression"
291,"Blackberry Dream","hybrid","Muscle Spasms"
291,"Blackberry Dream","hybrid","Pain"
291,"Blackberry Dream","hybrid","Seizures"
291,"Blackberry Dream","hybrid","Dry Eyes"
291,"Blackberry Dream","hybrid","Dry Mouth"
293,"Blackberry Hashplant","indica","Euphoric"
293,"Blackberry Hashplant","indica","Sleepy"
293,"Blackberry Hashplant","indica","Energetic"
293,"Blackberry Hashplant","indica","Happy"
293,"Blackberry Hashplant","indica","Uplifted"
293,"Blackberry Hashplant","indica","Pain"
293,"Blackberry Hashplant","indica","Stress"
293,"Blackberry Hashplant","indica","Insomnia"
293,"Blackberry Hashplant","indica","Nausea"
293,"Blackberry Hashplant","indica","Fatigue"
293,"Blackberry Hashplant","indica","Dry Mouth"
293,"Blackberry Hashplant","indica","Dry Eyes"
293,"Blackberry Hashplant","indica","Dizzy"
293,"Blackberry Hashplant","indica","Headache"
293,"Blackberry Hashplant","indica","Paranoid"
294,"Blackberry Haze","sativa","Relaxed"
294,"Blackberry Haze","sativa","Happy"
294,"Blackberry Haze","sativa","Hungry"
294,"Blackberry Haze","sativa","Uplifted"
294,"Blackberry Haze","sativa","Tingly"
294,"Blackberry Haze","sativa","Depression"
294,"Blackberry Haze","sativa","Stress"
294,"Blackberry Haze","sativa","Pain"
294,"Blackberry Haze","sativa","Headaches"
294,"Blackberry Haze","sativa","Inflammation"
294,"Blackberry Haze","sativa","Dry Mouth"
294,"Blackberry Haze","sativa","Dry Eyes"
294,"Blackberry Haze","sativa","Paranoid"
295,"Blackberry Kush","indica","Relaxed"
295,"Blackberry Kush","indica","Sleepy"
295,"Blackberry Kush","indica","Happy"
295,"Blackberry Kush","indica","Euphoric"
295,"Blackberry Kush","indica","Hungry"
295,"Blackberry Kush","indica","Stress"
295,"Blackberry Kush","indica","Insomnia"
295,"Blackberry Kush","indica","Pain"
295,"Blackberry Kush","indica","Depression"
295,"Blackberry Kush","indica","Lack of Appetite"
295,"Blackberry Kush","indica","Dry Mouth"
295,"Blackberry Kush","indica","Dry Eyes"
295,"Blackberry Kush","indica","Dizzy"
295,"Blackberry Kush","indica","Headache"
295,"Blackberry Kush","indica","Paranoid"
296,"Blackberry Lime Haze","sativa","Happy"
296,"Blackberry Lime Haze","sativa","Talkative"
296,"Blackberry Lime Haze","sativa","Uplifted"
296,"Blackberry Lime Haze","sativa","Euphoric"
296,"Blackberry Lime Haze","sativa","Relaxed"
