"id","name","race","effect"
228,"Bhang Super Silver Haze","sativa","Pain"
229,"Bhang Super Skunk","indica","Happy"
229,"Bhang Super Skunk","indica","Relaxed"
229,"Bhang Super Skunk","indica","Talkative"
229,"Bhang Super Skunk","indica","Tingly"
229,"Bhang Super Skunk","indica","Dry Mouth"
230,"Bhang Super Sour Diesel","sativa","Energetic"
230,"Bhang Super Sour Diesel","sativa","Focused"
230,"Bhang Super Sour Diesel","sativa","Giggly"
230,"Bhang Super Sour Diesel","sativa","Happy"
230,"Bhang Super Sour Diesel","sativa","Uplifted"
230,"Bhang Super Sour Diesel","sativa","Depression"
230,"Bhang Super Sour Diesel","sativa","Stress"
230,"Bhang Super Sour Diesel","sativa","Inflammation"
230,"Bhang Super Sour Diesel","sativa","Pain"
230,"Bhang Super Sour Diesel","sativa","Fatigue"
231,"Bhang Tahoe OG","hybrid","Happy"
231,"Bhang Tahoe OG","hybrid","Relaxed"
232,"Bhang Tangie","sativa","Tingly"
232,"Bhang Tangie","sativa","Uplifted"
232,"Bhang Tangie","sativa","Focused"
232,"Bhang Tangie","sativa","Happy"
232,"Bhang Tangie","sativa","Depression"
232,"Bhang Tangie","sativa","Fatigue"
232,"Bhang Tangie","sativa","Stress"
234,"Bhang Triple Berry Goo","indica","Relaxed"
234,"Bhang Triple Berry Goo","indica","Dry Eyes"
234,"Bhang Triple Berry Goo","indica","Dry Mouth"
234,"Bhang Triple Berry Goo","indica","Euphoric"
234,"Bhang Triple Berry Goo","indica","Happy"
234,"Bhang Triple Berry Goo","indica","Eye Pressure"
234,"Bhang Triple Berry Goo","indica","Fatigue"
236,"Bhang White Diesel","hybrid","Creative"
236,"Bhang White Diesel","hybrid","Euphoric"
236,"Bhang White Diesel","hybrid","Happy"
236,"Bhang White Diesel","hybrid","Relaxed"
237,"Bhang White Widow","hybrid","Creative"
237,"Bhang White Widow","hybrid","Happy"
237,"Bhang White Widow","hybrid","Talkative"
237,"Bhang White Widow","hybrid","Aroused"
237,"Bhang White Widow","hybrid","Energetic"
237,"Bhang White Widow","hybrid","Anxious"
239,"Bhang XJ-13","hybrid","Energetic"
239,"Bhang XJ-13","hybrid","Focused"
239,"Bhang XJ-13","hybrid","Relaxed"
239,"Bhang XJ-13","hybrid","Uplifted"
239,"Bhang XJ-13","hybrid","Headache"
239,"Bhang XJ-13","hybrid","Fatigue"
